Cam ID,Location,Latitude ,Longitude,camera_type,brand,install_date,last_maintenance_date,avg_daily_operation_hours,connectivity_status,ambient_temp_c,humidity_percent,prev_failures,days_since_last_failure,coverage_percent,health_status,uptime_percent,bandwidth_mbps,night_vision,technical_notes,lat_dd,lon_dd,governorate_en,Kuwait_Governorate,estimated_daily_vehicles
66,د.4 / محمد بن القاسم المخرج المؤدي - الاندلس," 29°18'45.69""N"," 47°55'24.29""E",Dome,Bosch,2019-11-28 00:00:00,2025-05-10 00:00:00,21,Online,31.8,65,1,536,87,Good,98.13,1.23,TRUE,Periodic false motion alerts,29.31269167,47.92341389,Al Farwaniyah,Farwaniya,70624
162,قادم من اشبيله والجليب واشبيله باتجاه الجهراء," 29°16'1.42""N"," 47°56'21.86""E",Fisheye,Honeywell,2021-08-06 00:00:00,2023-10-16 00:00:00,21,Online,28.8,73,0,607,95,Good,99.68,5.37,FALSE,,29.26706111,47.93940556,Al Farwaniyah,Farwaniya,96545
247,قادم من الاول باتجاه شارع القاهره ," 29°21'51.21""N"," 47°59'32.67""E",PTZ,Bosch,2024-03-21 00:00:00,2025-10-20 00:00:00,23,Online,25,52,1,153,75,Good,98.6,4.01,TRUE,,29.364225,47.99240833,Al Asimah,Al Asimah,77215
435,القادم من شارع ثقيف السالميه باتجاه د.ا5,,,Dome,Vivotek,2021-10-13 00:00:00,2025-05-10 00:00:00,20,Online,31.4,44,1,124,82,Good,99.71,5.01,TRUE,,,,,Unknown,60829
61,مدخل الطريق المؤدي الي ميناء الدوحه," 29°21'12.77""N","47°48'8.37""E",Dome,Dahua,2020-01-14 00:00:00,2024-09-28 00:00:00,22,Intermittent,29.8,54,1,250,71,Warning,90.59,2.03,TRUE,,29.35354722,47.802325,Al Jahrah,Jahra,45181
86,د.4 / المغرب المخرج المؤدي الي  د-5," 29°19'17.80""N"," 48° 0'45.23""E",Bullet,Uniview,2023-12-20 00:00:00,2024-11-26 00:00:00,20,Online,37.1,35,3,413,92,Warning,98.43,8.13,TRUE,Check IR LEDs,29.32161111,48.01256389,Hawalli,Hawalli,95088
143,قادم المسيله باتجاه د.5," 29°16'19.36""N"," 47°59'14.09""E",Thermal,Vivotek,2021-03-10 00:00:00,2024-01-05 00:00:00,21,Intermittent,30,54,2,610,74,Warning,91.04,4.42,TRUE,Focus adjustment needed,29.27204444,47.98724722,Al Farwaniyah,Farwaniya,67973
126,قادم من الجهراء باتجاه الاحمدي," 29°15'30.42""N","48° 2'38.20""E",Analog,Vivotek,2018-05-02 00:00:00,2025-01-26 00:00:00,20,Intermittent,30.8,39,1,667,81,Warning,94.51,5.46,TRUE,,29.25845,48.04394444,Mubarak Al-Kabeer,Mubarak Al-Kabeer,57323
326,قادم من شارع فهد السالم باتجاه دوار الجهراء," 29°21'43.73""N"," 47°57'52.14""E",Analog,Vivotek,2018-09-13 00:00:00,2025-06-10 00:00:00,20,Online,36.3,62,0,142,64,Good,98.15,1.92,TRUE,Firmware update recommended,29.36214722,47.96448333,Al Asimah,Al Asimah,46530
191,القادم من اسواق القرين باتجاه صبحان," 29°12'0.23""N","48° 0'29.83""E",Fisheye,Uniview,2025-02-07 00:00:00,2025-06-10 00:00:00,22,Online,41.7,73,0,346,86,Good,99.89,3.92,TRUE,Mount stabilization required,29.20006389,48.00828611,Al Ahmadi,Ahmadi,65492
90,مخرج برج الساعه باتجاه الملك فهد," 29°18'23.74""N"," 48° 1'9.08""E",Thermal,Bosch,2021-03-24 00:00:00,2021-02-23 00:00:00,23,Online,35.2,45,0,263,89,Good,98.4,2.07,TRUE,Check IR LEDs,29.30659444,48.01918889,Hawalli,Hawalli,80819
170,قادم من مستشفى الفروانيه باتجاه الجهراء," 29°16'3.72""N","47°54'15.42""E",Fisheye,Uniview,2023-10-20 00:00:00,2020-11-20 00:00:00,18,Online,30.5,81,0,265,73,Good,98.37,5.68,TRUE,Mount stabilization required,29.2677,47.90428333,Al Farwaniyah,Farwaniya,65190
381,مدخل الخيران البحري ,"28°40'22.6""N"," 48°21'43.9""E",Analog,Uniview,2019-01-07 00:00:00,2025-06-30 00:00:00,22,Online,36.6,63,0,158,94,Good,98.45,2.59,TRUE,Mount stabilization required,28.67294444,48.36219444,Al Ahmadi,Ahmadi,69569
170,قادم من مستشفى الفروانيه باتجاه الجهراء," 29°16'3.72""N","47°54'15.42""E",Fisheye,Uniview,2023-10-20 00:00:00,2024-01-02 00:00:00,22,Online,26,63,1,347,74,Good,98.17,5.74,TRUE,Periodic false motion alerts,29.2677,47.90428333,Al Farwaniyah,Farwaniya,72805
431,القادم من شارع عمان السالميه باتجاه د.5,,,Dome,Hanwha,2025-05-28 00:00:00,2025-07-07 00:00:00,23,Online,35,51,0,140,73,Good,98.05,3.46,TRUE,,,,,Unknown,52090
9,الاول / المغرب القادم دسمان - شارع السور," 29°21'42.95""N","47°59'13.81""E",Thermal,Hanwha,2021-09-22 00:00:00,2025-10-31 00:00:00,18,Online,23.3,75,1,20,93,Good,98.88,5.89,TRUE,,29.36193056,47.98716944,Al Asimah,Al Asimah,96581
436,القادم من د.5 باتجاه شارع عيسى القطامي السالميه,"29°19'25.41""N"," 48° 3'56.91""E",Dome,Hanwha,2018-07-19 00:00:00,2023-05-11 00:00:00,20,Online,30.9,70,3,655,64,Warning,99.84,2.92,TRUE,Heat exposure — add shade,29.323725,48.06580833,Hawalli,Hawalli,51538
189,قادم من صبحان باتجاه الظهر ," 29°11'8.97""N"," 47°59'44.85""E",PTZ,Uniview,2021-02-12 00:00:00,2025-01-06 00:00:00,22,Online,39.4,57,0,67,76,Good,99.97,10.17,TRUE,,29.185825,47.99579167,Al Ahmadi,Ahmadi,64728
297,قادم من شارع الخليج العربي السالمية باتجاه شارع عبد الرحمن يوسف حمد الرومي ,,,Thermal,Bosch,2022-09-01 00:00:00,2025-04-09 00:00:00,23,Online,31.4,71,1,660,91,Good,98.49,4.79,TRUE,Focus adjustment needed,,,,Unknown,73680
299,قادم من شارع عبد الرحمن يوسف حمد الرومي باتجاه قادم من شارع الخليج العربي السالمية,,,Bullet,Vivotek,2021-06-11 00:00:00,2023-06-07 00:00:00,18,Online,27.8,38,0,517,92,Good,98.19,2.91,TRUE,Heat exposure — add shade,,,,Unknown,62335
15,قادم من د. الاول الجسر باتجاه د.2," 29°21'26.34""N","47°57'16.47""E",Dome,Hikvision,2024-04-16 00:00:00,2024-07-13 00:00:00,20,Online,37.1,60,0,122,78,Good,99.49,4.31,FALSE,Check IR LEDs,29.35731667,47.954575,Al Asimah,Al Asimah,84556
107,القادم من المدينه باتجاه الجهراء," 29°18'42.60""N","48° 2'49.13""E",Dome,Vivotek,2020-02-03 00:00:00,2024-10-13 00:00:00,22,Online,37.9,49,1,571,95,Good,98.06,3.4,TRUE,,29.31183333,48.04698056,Hawalli,Hawalli,92355
439,القادم من شارع المغيره بن شعبه السالميه باتجاه د.5,,,Bullet,Hanwha,2024-06-13 00:00:00,2025-03-08 00:00:00,18,Online,30.8,71,1,492,87,Good,98.56,3.28,TRUE,Lens requires cleaning,,,,Unknown,58815
143,قادم المسيله باتجاه د.5," 29°16'19.36""N"," 47°59'14.09""E",Thermal,Vivotek,2021-03-10 00:00:00,2023-05-27 00:00:00,18,Online,45.8,67,1,411,71,Warning,99.95,2.89,TRUE,Focus adjustment needed,29.27204444,47.98724722,Al Farwaniyah,Farwaniya,47288
21,قادم من الخليج  باتجاه دوار جمال  ," 29°21'21.68""N","47°57'0.01""E",Thermal,Vivotek,2018-12-25 00:00:00,2022-08-30 00:00:00,22,Online,22.5,69,0,403,72,Good,99.92,2.14,FALSE,,29.35602222,47.95000278,Al Asimah,Al Asimah,63378
172,قادم من الجهراء باتجاه عبدالله المبارك," 29°15'55.74""N","47°54'21.85""E",PTZ,Dahua,2025-01-22 00:00:00,2020-04-28 00:00:00,21,Online,44.1,61,2,707,93,Good,99.74,2.14,TRUE,Heat exposure — add shade,29.26548333,47.90606944,Al Farwaniyah,Farwaniya,71306
363,قادم من شارع الشهداء باتجاه شارع عبد الله السالم ,"  29°22'0.17""N"," 47°58'26.51""E",IP,Vivotek,2021-08-22 00:00:00,2024-11-21 00:00:00,20,Online,43.1,43,1,572,95,Good,98.87,11.02,TRUE,Check IR LEDs,29.36671389,47.97403056,Al Asimah,Al Asimah,95666
158,قادم المسيله باتجاه اشبيله والجليب," 29°16'1.35""N"," 47°56'25.61""E",Dome,Axis,2018-08-23 00:00:00,2020-05-26 00:00:00,22,Online,37.7,69,0,653,89,Good,98.13,2.56,FALSE,,29.26704167,47.94044722,Al Farwaniyah,Farwaniya,78026
349,قادم من طريق المغرب 40 باتجاه الدائري الأول ," 29°21'40.32""N"," 47°59'15.78""E",Thermal,Hanwha,2019-05-17 00:00:00,2022-06-18 00:00:00,23,Online,40.1,35,0,151,60,Good,99.54,3.93,TRUE,Focus adjustment needed,29.3612,47.98771667,Al Asimah,Al Asimah,61037
168,قادم المسيله باتجاه العارضيه وعبدالله المبارك," 29°16'3.19""N"," 47°54'51.86""E",IP,Hanwha,2024-01-01 00:00:00,2025-01-17 00:00:00,18,Intermittent,23.8,43,1,694,72,Warning,91.65,2.83,TRUE,,29.26755278,47.91440556,Al Farwaniyah,Farwaniya,56106
298,قادم من شارع عبد الرحمن يوسف حمد الرومي باتجاه قادم من شارع الخليج العربي الشويخ,"  29°22'55.58""N"," 48° 0'8.44""E",PTZ,Honeywell,2023-01-14 00:00:00,2023-09-13 00:00:00,22,Online,34.6,73,1,460,90,Good,98.53,4.2,TRUE,Periodic false motion alerts,29.38210556,48.00234444,,Unknown,69811
40,قادم من ط. جمال باتجاه ط. الجهراء جسرعلوي," 29°19'16.95""N"," 47°53'51.62""E",Analog,Uniview,2023-11-29 00:00:00,2020-04-07 00:00:00,19,Offline,29.7,33,0,364,94,Good,91.25,3.23,TRUE,Lens requires cleaning,29.321375,47.89767222,Al Asimah,Al Asimah,106371
50,قادم من وصلة الدوحه باتجاه الجهراء," 29°18'43.46""N"," 47°46'45.54""E",PTZ,Dahua,2025-02-27 00:00:00,2025-07-10 00:00:00,21,Online,30.9,57,1,7,83,Good,98.63,4.13,TRUE,,29.31207222,47.77931667,Al Jahrah,Jahra,54497
240,قادم من الاول بتجاه عبدالحميد حمد الصقر," 29°21'57.49""N"," 47°57'46.66""E",Fisheye,Honeywell,2024-01-05 00:00:00,2025-05-10 00:00:00,23,Intermittent,34.5,64,1,470,73,Warning,90.49,3.66,TRUE,Firmware update recommended,29.36596944,47.96296111,Al Asimah,Al Asimah,73120
50,قادم من وصلة الدوحه باتجاه الجهراء," 29°18'43.46""N"," 47°46'45.54""E",PTZ,Dahua,2025-02-27 00:00:00,2025-06-18 00:00:00,21,Online,36.6,54,1,56,60,Good,98.87,2.1,TRUE,Periodic false motion alerts,29.31207222,47.77931667,Al Jahrah,Jahra,27760
152,قادم من الجهراء باتجاه الضجيج," 29°15'47.51""N"," 47°57'8.29""E",Analog,Axis,2025-08-13 00:00:00,2021-02-14 00:00:00,22,Online,42.6,81,1,9,94,Good,99.93,9.05,TRUE,Heat exposure — add shade,29.26319722,47.95230278,Al Farwaniyah,Farwaniya,89012
245,قادم من الملك فهد بن عبدالعزيز باتجاه الملك عبدالله بن عبدالعزيز," 29°15'49.15""N"," 48° 2'32.21""E",Bullet,Hikvision,2018-10-12 00:00:00,2025-04-05 00:00:00,18,Online,28.1,65,0,469,82,Good,98.94,10.26,TRUE,,29.26365278,48.04228056,Mubarak Al-Kabeer,Mubarak Al-Kabeer,60743
164,قادم من المسيلة باتجاه الجليب 2," 29°16'3.51""N"," 47°55'34.38""E",Fisheye,Uniview,2021-07-04 00:00:00,2023-04-07 00:00:00,19,Online,25.5,62,1,660,67,Good,99.89,4.7,FALSE,Periodic false motion alerts,29.26764167,47.92621667,Al Farwaniyah,Farwaniya,57352
172,قادم من الجهراء باتجاه عبدالله المبارك," 29°15'55.74""N","47°54'21.85""E",PTZ,Dahua,2025-01-22 00:00:00,2023-10-29 00:00:00,19,Online,30.4,49,0,105,60,Good,98.67,3.63,TRUE,,29.26548333,47.90606944,Al Farwaniyah,Farwaniya,45981
355,قادم من شارع جابر المبارك باتجاه شارع الفحاحيل / شارع السور ," 29°22'34.79""N"," 47°59'36.95""E",Bullet,Dahua,2024-07-28 00:00:00,2025-04-30 00:00:00,18,Online,26.3,52,1,371,93,Good,99.88,3.47,FALSE,,29.37633056,47.99359722,Al Asimah,Al Asimah,89952
219,قادم من صباح السالم باتجاه المدينه," 29°15'0.90""N","48° 5'30.33""E",Thermal,Honeywell,2018-06-26 00:00:00,2023-10-20 00:00:00,21,Online,33.6,62,1,433,67,Good,98.09,1.62,TRUE,Firmware update recommended,29.25025,48.09175833,Mubarak Al-Kabeer,Mubarak Al-Kabeer,35533
222,القادم من الفحاحيل باتجاه الجهراء," 29°18'55.85""N"," 48° 3'8.95""E",Dome,Uniview,2018-11-26 00:00:00,2023-12-13 00:00:00,18,Online,34.3,51,1,41,80,Good,98.6,5.2,TRUE,Focus adjustment needed,29.31551389,48.05248611,Hawalli,Hawalli,75445
240,قادم من الاول بتجاه عبدالحميد حمد الصقر," 29°21'57.49""N"," 47°57'46.66""E",Fisheye,Honeywell,2024-01-05 00:00:00,2025-08-23 00:00:00,22,Online,27.6,38,2,497,99,Good,99.14,1.65,TRUE,Heat exposure — add shade,29.36596944,47.96296111,Al Asimah,Al Asimah,97879
275,قادم من شارع الخليج العربي من ناحية باتجاه شارع السور ,,,IP,Bosch,2020-07-07 00:00:00,2023-01-11 00:00:00,20,Online,36.2,68,2,279,70,Warning,99.02,8.81,TRUE,Firmware update recommended,,,,Unknown,52032
168,قادم المسيله باتجاه العارضيه وعبدالله المبارك," 29°16'3.19""N"," 47°54'51.86""E",IP,Hanwha,2024-01-01 00:00:00,2023-05-16 00:00:00,21,Online,36,47,1,544,79,Good,98.56,2.34,TRUE,Heat exposure — add shade,29.26755278,47.91440556,Al Farwaniyah,Farwaniya,63530
130,قادم من الضجيج باتجاه السالميه," 29°18'6.17""N","47°57'1.54""E",IP,Axis,2022-03-27 00:00:00,2022-10-22 00:00:00,20,Online,46,75,1,576,89,Good,98.48,9.45,TRUE,Heat exposure — add shade,29.30171389,47.95042778,Al Farwaniyah,Farwaniya,80335
101,مدخل د.4 القادم من المدينه - الصليبخات," 29°19'56.52""N"," 48° 2'17.95""E",Thermal,Hikvision,2022-03-31 00:00:00,2024-09-20 00:00:00,22,Online,32.4,52,0,577,89,Good,99.83,1.77,TRUE,Replace network cable,29.33236667,48.03831944,Hawalli,Hawalli,81389
361,شارع جاسم محمد البحر باتجاه شارع الخليج /الدائري الأول ,,,Fisheye,Dahua,2023-03-22 00:00:00,2023-12-13 00:00:00,18,Online,18.8,41,0,176,84,Good,98.37,5.12,FALSE,Lens requires cleaning,,,,Unknown,62513
95,مخرج  بجانب الجابريه باتجاه المدينه," 29°18'40.10""N"," 48° 1'14.22""E",Thermal,Honeywell,2023-05-06 00:00:00,2024-10-13 00:00:00,21,Intermittent,29.7,54,0,177,88,Good,94.43,1.54,TRUE,,29.31113889,48.02061667,Hawalli,Hawalli,76971
141,قادم من د.5 باتجاه الجهراء," 29°15'58.38""N","47°59'1.20""E",Analog,Hanwha,2018-05-16 00:00:00,2025-10-13 00:00:00,22,Online,38,42,0,239,80,Good,98.4,4.34,TRUE,,29.26621667,47.98366667,Al Farwaniyah,Farwaniya,73228
15,قادم من د. الاول الجسر باتجاه د.2," 29°21'26.34""N","47°57'16.47""E",Dome,Hikvision,2024-04-16 00:00:00,2025-09-19 00:00:00,23,Online,29.8,70,1,489,69,Good,98.56,9.41,TRUE,,29.35731667,47.954575,Al Asimah,Al Asimah,92566
28,مخرج قادم من العزالي باتجاه المستشفيات," 29°20'7.23""N"," 47°55'43.41""E",Analog,Bosch,2019-02-22 00:00:00,2022-07-28 00:00:00,18,Online,32.5,43,1,654,88,Good,99.77,3.24,TRUE,,29.33534167,47.928725,Al Asimah,Al Asimah,82803
100,المخرج المؤدي الي ط.عبدالعزيز @ الجابريه," 29°19'42.70""N","48° 2'27.77""E",PTZ,Uniview,2022-12-26 00:00:00,2022-09-13 00:00:00,22,Online,35.8,63,2,642,65,Warning,98.38,2.12,TRUE,Mount stabilization required,29.32852778,48.04104722,Hawalli,Hawalli,48991
454,القادم من د.5 باتجاه دوار البدع," 29°19'32.43""N"," 48° 4'45.52""E",Thermal,Hanwha,2019-03-08 00:00:00,2022-08-30 00:00:00,19,Offline,33.9,46,1,309,81,Warning,96.28,2.58,TRUE,Replace network cable,29.325675,48.07931111,Hawalli,Hawalli,70068
55,قادم من المدينه باتجاه القصر وجابر," 29°20'32.16""N","47°42'38.37""E",Thermal,Bosch,2025-01-07 00:00:00,2024-11-22 00:00:00,19,Intermittent,37.6,51,1,425,60,Warning,95.83,2.95,TRUE,Check IR LEDs,29.34226667,47.71065833,Al Jahrah,Jahra,28901
39,مدخل الجسر العلوي باتجاه المدينه @ التربيه," 29°19'43.05""N"," 47°55'28.29""E",PTZ,Bosch,2025-01-03 00:00:00,2023-06-03 00:00:00,20,Online,34.1,58,2,298,71,Warning,98.21,5.09,TRUE,,29.328625,47.924525,Al Asimah,Al Asimah,80658
69,د.4 / الغرالي المخرج المؤدي الي د.5," 29°18'46.34""N","47°56'32.06""E",Thermal,Honeywell,2024-03-20 00:00:00,2025-07-15 00:00:00,20,Online,37.7,77,1,531,67,Good,98.75,0.61,TRUE,Mount stabilization required,29.31287222,47.94223889,Al Farwaniyah,Farwaniya,38460
271,قادم من شارع عبد العزيز حمد الصقر باتجاه الدائري الأول ,,,Dome,Dahua,2021-10-26 00:00:00,2022-04-29 00:00:00,19,Online,32.3,46,1,12,80,Good,98.71,4.71,TRUE,,,,,Unknown,65561
355,قادم من شارع جابر المبارك باتجاه شارع الفحاحيل / شارع السور ," 29°22'34.79""N"," 47°59'36.95""E",Bullet,Dahua,2024-07-28 00:00:00,2019-10-26 00:00:00,20,Online,33.6,60,1,25,69,Good,99.06,12.19,TRUE,Mount stabilization required,29.37633056,47.99359722,Al Asimah,Al Asimah,78325
65,د.4 /محمد بن القاسم  المخرج المؤدي الي د-5," 29°18'43.69""N","47°55'34.10""E",IP,Uniview,2020-08-12 00:00:00,2024-01-30 00:00:00,22,Online,21.1,47,2,644,89,Good,98.38,2.13,TRUE,,29.31213611,47.92613889,Al Farwaniyah,Farwaniya,79897
135,قادم السالميه باتجاه د.4," 29°18'12.40""N","47°57'58.20""E",Dome,Honeywell,2025-02-14 00:00:00,2020-06-16 00:00:00,22,Intermittent,33.2,43,0,41,78,Good,92.15,3.49,FALSE,Check IR LEDs,29.30344444,47.96616667,Al Farwaniyah,Farwaniya,71615
72,د.4 / الغرالي المخرج المؤدي - المشاتل," 29°18'53.33""N","47°56'37.08""E",Thermal,Uniview,2023-02-14 00:00:00,2025-06-10 00:00:00,21,Online,34.5,66,1,452,81,Good,99.42,3.97,TRUE,Firmware update recommended,29.31481389,47.94363333,Al Farwaniyah,Farwaniya,75363
5,الاول / القاهره مدخل المدينه  بإتجاه - السور," 29°21'56.49""N","47°59'29.99""E",Dome,Bosch,2018-06-06 00:00:00,2022-04-26 00:00:00,23,Intermittent,31.9,67,1,225,96,Warning,96.74,2.67,TRUE,Lens requires cleaning,29.36569167,47.99166389,Al Asimah,Al Asimah,101420
236,القادم من دوار الجهراء باتجاه طريق د.2," 29°21'32.45""N"," 47°57'46.41""E",IP,Uniview,2018-03-28 00:00:00,2024-06-24 00:00:00,22,Online,21.1,56,1,458,88,Good,98.34,4.54,TRUE,,29.35901389,47.96289167,Al Asimah,Al Asimah,109555
410,القادم من د.5 باتجاه شارع اسامه بن زيد," 29°19'29.98""N"," 48° 4'18.37""E",Fisheye,Bosch,2024-01-29 00:00:00,2025-08-24 00:00:00,23,Online,36.8,44,2,437,75,Warning,98.05,7.63,TRUE,Focus adjustment needed,29.32499444,48.07176944,Hawalli,Hawalli,78820
156,قادم من المسيله باتجاه الخامس," 29°16'9.29""N"," 47°57'6.70""E",Thermal,Honeywell,2020-08-20 00:00:00,2025-09-14 00:00:00,23,Online,39.5,44,0,379,85,Good,99.11,2.41,TRUE,Periodic false motion alerts,29.26924722,47.95186111,Al Farwaniyah,Farwaniya,74105
57,القادم من العبدلي باتجاه جابر والقصر," 29°20'28.34""N","47°42'41.21""E",Bullet,Uniview,2022-03-15 00:00:00,2025-01-26 00:00:00,22,Online,30.4,47,1,691,90,Good,99.89,5.54,TRUE,Mount stabilization required,29.34120556,47.71144722,Al Jahrah,Jahra,64502
164,قادم من المسيلة باتجاه الجليب 2," 29°16'3.51""N"," 47°55'34.38""E",Fisheye,Uniview,2021-07-04 00:00:00,2020-07-01 00:00:00,22,Offline,40.5,56,0,431,93,Good,92.96,2.73,TRUE,Heat exposure — add shade,29.26764167,47.92621667,Al Farwaniyah,Farwaniya,83581
359,شارع جاسم محمد البحر باتجاه شارع الشهداء /شرق," 29°22'52.44""N"," 47°59'43.78""E",IP,Hikvision,2021-07-05 00:00:00,2024-01-03 00:00:00,19,Online,29,66,0,524,88,Good,98.47,4.96,TRUE,Lens requires cleaning,29.38123333,47.99549444,Al Asimah,Al Asimah,90196
190,القادم من د.7 باتجاه اسواق القرين,"  29°11'40.84""N","48° 0'23.84""E",Fisheye,Uniview,2023-01-17 00:00:00,2022-03-16 00:00:00,22,Online,38.8,53,2,558,62,Warning,99.74,13.46,TRUE,Periodic false motion alerts,29.19467778,48.00662222,Al Ahmadi,Ahmadi,53061
2, الاول / عيسى مخرج دسمان قادم من عيسى," 29°22'31.21""N"," 47°59'49.23""E",PTZ,Hanwha,2022-07-27 00:00:00,2025-11-03 00:00:00,23,Online,38.4,45,0,221,80,Good,99.45,3.07,TRUE,,29.37533611,47.99700833,Al Asimah,Al Asimah,76789
25,مخرج جسر جابر للقادم من المدينه," 29°20'28.26""N"," 47°55'37.79""E",IP,Hanwha,2018-01-28 00:00:00,2024-02-15 00:00:00,21,Online,38.2,42,3,127,68,Warning,99.33,3.02,FALSE,Periodic false motion alerts,29.34118333,47.92716389,Al Asimah,Al Asimah,66531
296,قادم من شارع الخليج العربي الشويخ باتجاه شارع عبد الرحمن يوسف حمد الرومي ," 29°22'56.64""N"," 48° 0'8.28""E",IP,Bosch,2021-07-16 00:00:00,2025-11-07 00:00:00,20,Online,37.9,52,0,693,96,Good,98.74,1.5,TRUE,Mount stabilization required,29.3824,48.0023,,Unknown,60846
199,قادم الاحمدي باتجاه العدان," 29°14'17.64""N","48° 3'4.11""E",Analog,Dahua,2023-10-18 00:00:00,2022-03-27 00:00:00,20,Online,28.8,54,1,233,61,Good,98.06,2.46,TRUE,Periodic false motion alerts,29.23823333,48.05114167,Mubarak Al-Kabeer,Mubarak Al-Kabeer,32405
18,قادم من د.2 باتجاه دوار الجهراء," 29°21'33.86""N","47°57'39.87""E",Dome,Axis,2019-02-11 00:00:00,2024-02-18 00:00:00,20,Intermittent,30.2,54,0,14,93,Good,92.45,2.81,TRUE,,29.35940556,47.961075,Al Asimah,Al Asimah,91595
147,"قادم من المسيله باتجاه د,5"," 29°15'58.75""N"," 47°58'31.58""E",Fisheye,Bosch,2025-02-03 00:00:00,2025-03-15 00:00:00,19,Online,29.1,64,1,187,88,Good,99.14,5.2,TRUE,Heat exposure — add shade,29.26631944,47.97543889,Al Farwaniyah,Farwaniya,83542
190,القادم من د.7 باتجاه اسواق القرين,"  29°11'40.84""N","48° 0'23.84""E",Fisheye,Uniview,2023-01-17 00:00:00,2024-05-17 00:00:00,19,Intermittent,35.7,83,1,105,87,Warning,96.57,0.78,TRUE,Heat exposure — add shade,29.19467778,48.00662222,Al Ahmadi,Ahmadi,50754
72,د.4 / الغرالي المخرج المؤدي - المشاتل," 29°18'53.33""N","47°56'37.08""E",Thermal,Uniview,2023-02-14 00:00:00,2025-05-05 00:00:00,20,Online,40.2,27,0,297,99,Good,98.82,6,TRUE,Firmware update recommended,29.31481389,47.94363333,Al Farwaniyah,Farwaniya,95823
108,القادم من الفحيحيل باتجاه السالميه," 29°19'3.42""N"," 48° 3'26.67""E",Analog,Bosch,2018-03-28 00:00:00,2025-01-23 00:00:00,18,Intermittent,31.3,29,1,313,90,Warning,94.61,2.48,TRUE,Heat exposure — add shade,29.31761667,48.05740833,Hawalli,Hawalli,78926
435,القادم من شارع ثقيف السالميه باتجاه د.ا5,,,Dome,Vivotek,2021-10-13 00:00:00,2025-05-19 00:00:00,20,Online,32,57,1,144,76,Good,98.15,2.25,TRUE,,,,,Unknown,47864
155,قادم الضجيج باتجاه المسيله," 29°15'56.54""N","47°57'24.55""E",Fisheye,Dahua,2025-02-07 00:00:00,2023-11-25 00:00:00,19,Online,23,52,2,540,83,Good,99.42,1.88,TRUE,Firmware update recommended,29.26570556,47.95681944,Al Farwaniyah,Farwaniya,66334
103,المخرج المؤدي الي المدينه القادم من السالميه," 29°20'0.71""N"," 48° 2'17.51""E",Thermal,Bosch,2018-06-30 00:00:00,2021-09-04 00:00:00,20,Online,37.7,82,1,539,92,Good,99.71,5.08,TRUE,Lens requires cleaning,29.33353056,48.03819722,Hawalli,Hawalli,89512
177,مدخل د.6 القادم من السابع باتجاه الجهراء," 29°16'0.35""N"," 47°49'57.66""E",Bullet,Vivotek,2024-10-08 00:00:00,2023-09-15 00:00:00,18,Online,36.6,71,2,678,63,Warning,98.03,3.22,TRUE,Heat exposure — add shade,29.26676389,47.83268333,Al Jahrah,Jahra,31175
30,مخرج باتجاه شارع الجهراء والتطبيقي," 29°20'11.65""N","47°55'37.75""E",PTZ,Hanwha,2019-01-15 00:00:00,2021-03-31 00:00:00,20,Intermittent,24.7,63,0,216,83,Good,96.41,1.18,TRUE,Focus adjustment needed,29.33656944,47.92715278,Al Asimah,Al Asimah,69421
107,القادم من المدينه باتجاه الجهراء," 29°18'42.60""N","48° 2'49.13""E",Dome,Vivotek,2020-02-03 00:00:00,2024-06-06 00:00:00,20,Online,32.6,60,0,205,69,Good,99.39,1.34,TRUE,Replace network cable,29.31183333,48.04698056,Hawalli,Hawalli,49895
340,قادم من دوار الجهراء باتجاه شارع السور ," 29°21'38.40""N"," 47°57'51.57""E",PTZ,Uniview,2022-03-18 00:00:00,2025-10-29 00:00:00,21,Intermittent,31,69,1,112,63,Warning,96.53,4.23,TRUE,,29.36066667,47.964325,Al Asimah,Al Asimah,58403
140,قادم من صبحان باتجاه الجهراء ," 29°16'0.85""N"," 47°59'16.96""E",Bullet,Dahua,2023-04-20 00:00:00,2021-04-15 00:00:00,18,Online,23.9,77,1,414,88,Good,99.55,2.55,FALSE,,29.26690278,47.98804444,Al Farwaniyah,Farwaniya,73601
222,القادم من الفحاحيل باتجاه الجهراء," 29°18'55.85""N"," 48° 3'8.95""E",Dome,Uniview,2018-11-26 00:00:00,2021-08-22 00:00:00,20,Intermittent,27.1,60,1,28,60,Warning,94.54,5.56,TRUE,Periodic false motion alerts,29.31551389,48.05248611,Hawalli,Hawalli,54477
143,قادم المسيله باتجاه د.5," 29°16'19.36""N"," 47°59'14.09""E",Thermal,Vivotek,2021-03-10 00:00:00,2024-05-23 00:00:00,18,Online,37.8,54,1,681,98,Good,99.45,1.07,TRUE,Focus adjustment needed,29.27204444,47.98724722,Al Farwaniyah,Farwaniya,74015
42,قادم المدينه باتجاه الجهراء جسر - غرناطه ," 29°18'35.20""N","47°52'46.68""E",IP,Hanwha,2021-07-15 00:00:00,2025-04-14 00:00:00,19,Online,37.5,62,1,466,92,Good,99.12,3.2,FALSE,,29.30977778,47.87963333,Al Farwaniyah,Farwaniya,90479
