Cam ID,Location,Longitude,Latitude,camera_type,brand,resolution_mp,install_date,last_maintenance_date,avg_daily_operation_hours,connectivity_status,ambient_temp_c,humidity_percent,prev_failures,days_since_last_failure,coverage_percent,health_status,uptime_percent,motion_events_per_day,bandwidth_mbps,night_vision,ptz,location_category,technical_notes
352,قادم من شارع السور/القاهرة باتجاه شارع مبارك الكبير ," 29°22'1.43""N"," 47°59'21.61""E",Analog,Hanwha,4,12/8/2021,7/20/2024,18,Intermittent,29,60,1,257,92,Warning,92.5,114,3.76,TRUE,FALSE,Parking,
372,قادم من شارع جابر المبارك باتجاه شارع خالد ابن الوليد ," 29°22'31.00""N"," 47°59'35.41""E",Fisheye,Hikvision,5,8/4/2022,4/8/2023,21,Online,33.9,62,0,198,95,Good,98.05,113,3.8,TRUE,FALSE,Warehouse,
217,قادم من المدينه باتجاه صباح السالم," 29°15'3.83""N","48° 5'25.86""E",Thermal,Hanwha,4,12/19/2020,11/8/2025,22,Online,32.1,53,2,72,83,Good,98.99,116,2.9,TRUE,FALSE,Lobby,Firmware update recommended
297,قادم من شارع الخليج العربي السالمية باتجاه شارع عبد الرحمن يوسف حمد الرومي ,,,Thermal,Bosch,12,9/1/2022,4/21/2024,22,Online,37.5,68,0,445,64,Good,99.21,135,6.98,FALSE,FALSE,Lobby,Firmware update recommended
29,مدخل القادم من الغرالي باتجاه المدينه," 29°20'11.96""N"," 47°55'39.89""E",Thermal,Axis,5,6/29/2018,7/10/2025,18,Online,25.7,44,2,727,79,Good,99.49,119,5.96,TRUE,TRUE,Perimeter,Firmware update recommended
108,القادم من الفحيحيل باتجاه السالميه," 29°19'3.42""N"," 48° 3'26.67""E",Analog,Bosch,12,3/28/2018,12/17/2024,18,Online,42.2,62,1,57,60,Good,98.04,122,5.04,TRUE,TRUE,Warehouse,
292,قادم من شارع الخليج العربي باتجاه شارع جاسم محمد البحر," 29°23'24.14""N","47°59'38.32""E",Fisheye,Dahua,4,3/7/2025,12/19/2024,22,Online,26.8,60,2,76,92,Good,99.8,135,4.32,TRUE,FALSE,Perimeter,
27,مخرج القادم من صليبخات باتجاه الغزالي," 29°20'18.17""N"," 47°55'21.26""E",Fisheye,Dahua,8,11/1/2023,4/19/2021,18,Online,28.7,32,3,259,72,Warning,98.92,94,6.31,TRUE,FALSE,Parking,Replace network cable
70,د.4 / الغرالي المخرج المؤدي الي بن القاسم," 29°18'53.26""N","47°56'23.10""E",Dome,Dahua,8,5/22/2022,10/5/2022,23,Online,35.1,37,0,721,81,Good,99.82,114,8.87,TRUE,FALSE,Parking,Focus adjustment needed
145,قادم من الخامس باتجاه الجهراء," 29°15'58.13""N","47°57'58.27""E",Analog,Hanwha,12,11/27/2021,4/30/2025,19,Online,27.5,47,0,509,89,Good,98.63,128,11.76,FALSE,FALSE,Office,Lens requires cleaning
72,د.4 / الغرالي المخرج المؤدي - المشاتل," 29°18'53.33""N","47°56'37.08""E",Thermal,Uniview,4,2/14/2023,7/5/2021,22,Online,24,62,2,599,91,Good,99.15,107,2.89,TRUE,FALSE,Office,Periodic false motion alerts
204,قادم من الجهراء و جابر العلي باتجاه الاحمدي," 29°10'24.54""N","48° 4'11.43""E",IP,Honeywell,4,7/17/2019,11/8/2021,22,Online,32.4,64,0,344,89,Good,98.18,121,3.02,TRUE,FALSE,Server Room,Lens requires cleaning
135,قادم السالميه باتجاه د.4," 29°18'12.40""N","47°57'58.20""E",Dome,Honeywell,12,2/14/2025,4/23/2024,20,Online,21.3,43,4,88,64,Warning,98.56,115,9.65,FALSE,FALSE,Server Room,
67,د.4 / القاسم المخرج المؤدي الي الميره," 29°18'49.00""N","47°55'38.54""E",Dome,Bosch,2,3/10/2021,3/7/2025,21,Online,33.3,33,3,33,97,Warning,98.3,103,0.7,TRUE,FALSE,Warehouse,Focus adjustment needed
61,مدخل الطريق المؤدي الي ميناء الدوحه," 29°21'12.77""N","47°48'8.37""E",Dome,Dahua,2,1/14/2020,10/27/2024,19,Online,34.6,44,0,255,73,Good,98.7,137,1.83,TRUE,FALSE,Server Room,Heat exposure — add shade
254,قادم من الدائري الرابع  باتجاه شارع حمد راشد العليان ," 29°18'48.93""N"," 47°56'2.46""E",Thermal,Axis,2,10/7/2023,7/24/2024,18,Online,25.4,28,1,583,63,Good,98.35,131,0.92,FALSE,FALSE,Warehouse,Replace network cable
226,القادم من الجهراء باتجاه الشويخ ," 29°18'5.45""N"," 47°57'51.95""E",Thermal,Hanwha,8,6/3/2020,2/27/2023,23,Online,32.3,70,0,85,88,Good,98.86,115,2.47,TRUE,FALSE,Parking,Firmware update recommended
444,القادم من د.5 باتجاه شارع الخنساء السالميه," 29°19'38.14""N"," 48° 4'41.34""E",Fisheye,Uniview,12,4/24/2024,3/4/2025,23,Offline,32.7,69,1,70,96,Warning,97.13,134,9.18,TRUE,TRUE,Warehouse,Heat exposure — add shade
10,الاول / المغرب الخارج من المدينه - الشيراتون," 29°21'37.50""N"," 47°59'5.44""E",Analog,Uniview,5,10/27/2021,5/10/2020,21,Online,31.6,24,2,724,79,Good,99.47,128,5.53,TRUE,TRUE,Lobby,
65,د.4 /محمد بن القاسم  المخرج المؤدي الي د-5," 29°18'43.69""N","47°55'34.10""E",IP,Uniview,12,8/12/2020,4/30/2025,22,Online,27.2,58,0,299,74,Good,99.29,131,11.52,TRUE,TRUE,Lobby,
211,الغوض / 208  قادم الرقه باتجاه العدان," 29°12'22.69""N","48° 5'32.37""E",Bullet,Uniview,12,1/16/2019,4/26/2025,23,Online,38.3,54,0,278,77,Good,98.24,109,4.76,TRUE,FALSE,Perimeter,Lens requires cleaning
135,قادم السالميه باتجاه د.4," 29°18'12.40""N","47°57'58.20""E",Dome,Honeywell,5,2/14/2025,10/25/2025,23,Online,39.6,75,1,42,60,Good,99.45,108,4,TRUE,TRUE,Office,Lens requires cleaning
216,قادم من الفحيحل باتجاه المدينه وابوفطيره," 29°12'32.06""N","48° 6'16.78""E",Analog,Hikvision,5,12/8/2021,12/10/2022,20,Online,25.7,61,2,120,64,Warning,99.86,121,5.2,TRUE,FALSE,Roof,
240,قادم من الاول بتجاه عبدالحميد حمد الصقر," 29°21'57.49""N"," 47°57'46.66""E",Fisheye,Honeywell,4,1/5/2024,3/2/2024,19,Online,29.7,70,1,331,72,Good,98.39,141,1.56,TRUE,TRUE,Perimeter,Firmware update recommended
41,قادم من ط. الجهراء باتجاه جمال جسرعلوي," 29°19'16.19""N"," 47°53'51.02""E",Fisheye,Hanwha,5,2/5/2024,8/19/2025,21,Online,36.4,28,5,336,84,Warning,99.12,149,5.97,TRUE,FALSE,Server Room,Check IR LEDs
40,قادم من ط. جمال باتجاه ط. الجهراء جسرعلوي," 29°19'16.95""N"," 47°53'51.62""E",Analog,Uniview,5,11/29/2023,10/14/2020,20,Online,32,45,0,306,66,Good,98.73,132,5.82,TRUE,TRUE,Parking,Firmware update recommended
217,قادم من المدينه باتجاه صباح السالم," 29°15'3.83""N","48° 5'25.86""E",Thermal,Hanwha,12,12/19/2020,10/16/2025,21,Online,34.5,33,0,189,80,Good,98.06,105,5.61,TRUE,FALSE,Server Room,Focus adjustment needed
94,مدخل قصر بيان باتجاه السالميه," 29°18'14.50""N","48° 1'27.86""E",Thermal,Dahua,2,7/2/2024,11/9/2024,18,Online,31.3,40,0,688,90,Good,99.8,137,0.73,TRUE,FALSE,Server Room,
290,قادم من شارع الخليج العربي باتجاه شارع جابر المبارك ," 29°23'17.65""N"," 47°59'7.86""E",Fisheye,Hanwha,8,1/17/2022,1/9/2025,23,Online,35.3,45,2,135,88,Good,98.12,118,6.72,TRUE,FALSE,Lobby,Lens requires cleaning
155,قادم الضجيج باتجاه المسيله," 29°15'56.54""N","47°57'24.55""E",Fisheye,Dahua,4,2/7/2025,7/15/2025,19,Online,36.5,66,0,89,60,Good,98.33,131,4.34,TRUE,FALSE,Roof,
209,الغوض / 208 قادم العدان باتجاه الملك فهد," 29°12'44.56""N","48° 5'21.88""E",Analog,Bosch,8,5/24/2024,7/25/2024,20,Online,24.7,64,0,600,94,Good,99.51,91,6.99,TRUE,TRUE,Office,Heat exposure — add shade
132,قادم من الجهراء باتجاه الفروانيه," 29°18'8.51""N","47°57'39.44""E",IP,Axis,5,2/17/2024,1/1/2023,23,Online,25.4,85,2,569,66,Warning,99.36,131,3.47,FALSE,TRUE,Warehouse,
340,قادم من دوار الجهراء باتجاه شارع السور ," 29°21'38.40""N"," 47°57'51.57""E",PTZ,Uniview,2,3/18/2022,11/12/2022,18,Online,36.4,76,0,708,92,Good,98.74,107,1.74,TRUE,FALSE,Server Room,Firmware update recommended
158,قادم المسيله باتجاه اشبيله والجليب," 29°16'1.35""N"," 47°56'25.61""E",Dome,Axis,2,8/23/2018,8/27/2023,22,Online,25.2,37,2,667,73,Warning,98.82,127,1.55,TRUE,FALSE,Roof,Check IR LEDs
103,المخرج المؤدي الي المدينه القادم من السالميه," 29°20'0.71""N"," 48° 2'17.51""E",Thermal,Bosch,4,6/30/2018,12/1/2023,21,Online,23.2,63,1,184,96,Good,98.62,129,2.53,TRUE,FALSE,Lobby,Periodic false motion alerts
163,قادم من المسيله باتجاه باتجاه د.5," 29°16'4.93""N","47°55'32.95""E",Fisheye,Hanwha,4,10/5/2025,11/9/2020,21,Online,33.2,72,2,120,66,Warning,99.23,116,4.14,TRUE,FALSE,Roof,Heat exposure — add shade
188,قادم من صبحان باتجاه الجهراء," 29°11'1.92""N"," 47°59'38.16""E",IP,Bosch,2,3/26/2018,2/26/2024,21,Online,33.7,77,1,470,68,Good,98,112,1.55,TRUE,TRUE,Lobby,Heat exposure — add shade
125,قادم من الاحمدي باتجاه المسيله," 29°15'51.86""N"," 48° 2'47.92""E",Thermal,Hikvision,4,10/11/2022,2/18/2023,23,Online,41.8,47,0,69,81,Good,98.83,104,1.47,TRUE,FALSE,Server Room,Check IR LEDs
170,قادم من مستشفى الفروانيه باتجاه الجهراء," 29°16'3.72""N","47°54'15.42""E",Fisheye,Uniview,2,10/20/2023,1/11/2023,23,Online,28.7,65,1,450,70,Good,98.39,122,2.23,FALSE,FALSE,Parking,
150,مخرج مطار الكويت الدولي," 29°15'6.41""N","47°58'6.56""E",Dome,Honeywell,8,9/13/2022,1/2/2021,22,Online,26.8,49,0,625,86,Good,98.21,119,6.8,TRUE,FALSE,Office,Lens requires cleaning
160,قادم من الجليب باتجاه المسيله,"  29°15'59.54""N","47°56'26.39""E",Dome,Uniview,8,6/5/2022,9/13/2022,20,Online,32.5,51,1,79,94,Good,98.53,121,6.75,TRUE,FALSE,Lobby,Firmware update recommended
187,قادم من الظهر باتجاه صبحان," 29°11'3.57""N"," 47°59'43.10""E",Dome,Axis,5,6/30/2025,12/11/2020,23,Online,36.7,67,3,246,69,Warning,99.15,104,3.29,TRUE,FALSE,Gate,Periodic false motion alerts
21,قادم من الخليج  باتجاه دوار جمال  ," 29°21'21.68""N","47°57'0.01""E",Thermal,Vivotek,4,12/25/2018,10/15/2024,21,Online,30,61,0,694,79,Good,99.16,130,1.34,TRUE,TRUE,Roof,Lens requires cleaning
448,القادم من د.5 باتجاه شارع حسن البنا الرميثيه," 29°19'29.15""N","48° 4'39.33""E",IP,Uniview,5,1/1/2024,12/2/2025,20,Online,26.8,65,2,331,64,Warning,98.29,125,2.11,TRUE,FALSE,Server Room,Periodic false motion alerts
157,مدخل مطار الكويت الدولي T4," 29°15'14.72""N","47°57'41.92""E",Thermal,Bosch,2,1/14/2025,5/31/2019,18,Intermittent,29.6,50,1,271,76,Warning,95.65,136,1.05,TRUE,FALSE,Warehouse,Heat exposure — add shade
145,قادم من الخامس باتجاه الجهراء," 29°15'58.13""N","47°57'58.27""E",Analog,Hanwha,12,11/27/2021,9/25/2023,20,Online,24.4,86,0,77,70,Good,99.16,134,14.25,TRUE,FALSE,Gate,Check IR LEDs
108,القادم من الفحيحيل باتجاه السالميه," 29°19'3.42""N"," 48° 3'26.67""E",Analog,Bosch,4,3/28/2018,9/20/2025,19,Online,34.7,69,2,412,65,Warning,99.67,136,2.98,TRUE,FALSE,Office,Mount stabilization required
404,القادم من شارع شاهين الغانم باتجاه د. 5," 29°19'24.68""N"," 48° 5'13.54""E",Dome,Uniview,5,6/25/2018,10/18/2022,22,Online,27.8,53,0,147,76,Good,98.37,124,4.57,TRUE,FALSE,Warehouse,Lens requires cleaning
89,د.4 / المغرب المخرج المؤدي الي المدينه," 29°19'28.25""N","48° 0'41.34""E",IP,Hanwha,8,1/3/2025,3/19/2025,23,Online,28.2,39,2,646,89,Good,99.75,126,4.95,TRUE,FALSE,Server Room,Focus adjustment needed
144,قادم الجهراء باتجاه المطار," 29°15'56.28""N"," 47°57'55.35""E",Bullet,Hikvision,5,8/24/2022,8/7/2020,20,Online,33.5,37,1,475,79,Good,99.2,102,2.48,TRUE,FALSE,Perimeter,Check IR LEDs
217,قادم من المدينه باتجاه صباح السالم," 29°15'3.83""N","48° 5'25.86""E",Thermal,Hanwha,2,12/19/2020,12/10/2024,20,Online,31.8,64,0,457,74,Good,98.31,133,1.95,TRUE,FALSE,Warehouse,
36,ط. الجهراء الشويخ الاداريه باتجاه دوار الامم," 29°20'38.20""N"," 47°56'59.56""E",Thermal,Hikvision,8,8/5/2023,2/17/2022,21,Online,32.7,46,2,171,90,Good,98.4,114,7.93,TRUE,FALSE,Gate,Periodic false motion alerts
3, الاول / عيسى مدخل المدينه باتجاه الخليجيه," 29°22'29.65""N"," 47°59'43.97""E",Fisheye,Honeywell,8,12/27/2020,8/8/2024,22,Online,27.6,36,1,729,98,Good,99.62,125,6.95,FALSE,FALSE,Warehouse,Lens requires cleaning
436,القادم من د.5 باتجاه شارع عيسى القطامي السالميه,"29°19'25.41""N"," 48° 3'56.91""E",Dome,Hanwha,8,7/19/2018,12/9/2025,21,Online,32.3,50,1,449,71,Good,98.96,116,8,TRUE,FALSE,Office,Replace network cable
397,القادم من  الدائري الخامس باتجاه شارع قطر السالميه ," 29°19'30.57""N"," 48° 5'6.72""E",Analog,Honeywell,4,3/4/2025,11/9/2024,23,Offline,22.9,55,2,146,61,Warning,91.83,124,2.96,TRUE,FALSE,Office,Mount stabilization required
66,د.4 / محمد بن القاسم المخرج المؤدي - الاندلس," 29°18'45.69""N"," 47°55'24.29""E",Dome,Bosch,2,11/28/2019,11/11/2024,19,Online,29.3,67,1,586,77,Good,99.61,118,1.65,FALSE,FALSE,Roof,Lens requires cleaning
191,القادم من اسواق القرين باتجاه صبحان," 29°12'0.23""N","48° 0'29.83""E",Fisheye,Uniview,5,2/7/2025,4/11/2019,21,Online,36.7,36,0,669,98,Good,98.35,106,4.73,TRUE,TRUE,Lobby,
161,قادم من الجهراء باتجاه الجليب," 29°15'59.67""N"," 47°56'16.47""E",Bullet,Dahua,2,11/1/2024,5/17/2022,19,Online,34.4,49,1,407,96,Good,99.62,113,1.26,TRUE,FALSE,Parking,Heat exposure — add shade
15,قادم من د. الاول الجسر باتجاه د.2," 29°21'26.34""N","47°57'16.47""E",Dome,Hikvision,8,4/16/2024,10/14/2025,18,Online,33.4,36,1,397,74,Good,99.38,121,8.32,TRUE,TRUE,Perimeter,Focus adjustment needed
112,مخرج  القادم من بيان باتجاه الفحيحيل,"    29°17'46.39""N","48° 4'0.64""E",Thermal,Hanwha,4,6/9/2025,9/5/2025,21,Intermittent,36.2,73,1,146,82,Warning,92.3,105,3.26,TRUE,TRUE,Office,Lens requires cleaning
236,القادم من دوار الجهراء باتجاه طريق د.2," 29°21'32.45""N"," 47°57'46.41""E",IP,Uniview,2,3/28/2018,4/23/2024,20,Online,31.8,53,3,505,70,Warning,98.44,147,1.98,FALSE,FALSE,Gate,Heat exposure — add shade
279,قادم من شارع الخليج السالمية باتجاه شارع عبد العزيز حمد الصقر ,,,IP,Bosch,4,2/13/2025,3/30/2022,22,Online,28.4,47,2,450,87,Good,98.65,135,1.78,TRUE,TRUE,Office,
148,مدخل  مطار الكويت الدولي," 29°15'7.59""N","47°58'5.94""E",Dome,Bosch,4,2/18/2025,7/4/2024,19,Online,34.6,59,0,204,77,Good,99.9,105,1.59,FALSE,TRUE,Office,Lens requires cleaning
75,د.4 / المطارالمخرج المؤدي الي د.3," 29°19'3.52""N"," 47°57'39.57""E",Analog,Bosch,4,8/10/2021,2/13/2019,20,Online,32,53,4,298,60,Warning,99.88,123,2.36,TRUE,FALSE,Perimeter,Mount stabilization required
74,د.4 / المطارالمخرج المؤدي الي الغزالي," 29°19'1.10""N","47°57'32.84""E",Bullet,Vivotek,5,5/6/2024,3/24/2023,22,Online,31.9,66,1,3,69,Good,98.66,129,2.29,TRUE,FALSE,Gate,Mount stabilization required
32,القادم من طريق الجهراء بإتجاه دوار الجهراء," 29°21'32.45""N"," 47°57'46.41""E",PTZ,Hanwha,8,6/8/2019,7/25/2022,20,Intermittent,26.7,83,1,681,90,Warning,94.61,105,3.25,TRUE,FALSE,Roof,
80,د.4 / الرياض المخرج المؤدي الي د-5," 29°19'4.05""N","47°58'27.54""E",Fisheye,Uniview,8,1/17/2025,11/18/2023,18,Online,25.9,53,0,278,68,Good,99.28,109,5.77,TRUE,FALSE,Roof,Periodic false motion alerts
100,المخرج المؤدي الي ط.عبدالعزيز @ الجابريه," 29°19'42.70""N","48° 2'27.77""E",PTZ,Uniview,5,12/26/2022,1/10/2023,18,Online,25.2,45,0,334,66,Good,98.18,125,5.2,TRUE,FALSE,Lobby,Heat exposure — add shade
158,قادم المسيله باتجاه اشبيله والجليب," 29°16'1.35""N"," 47°56'25.61""E",Dome,Axis,5,8/23/2018,1/26/2023,23,Online,34.6,64,2,595,80,Good,98.33,114,4.09,TRUE,FALSE,Gate,
296,قادم من شارع الخليج العربي الشويخ باتجاه شارع عبد الرحمن يوسف حمد الرومي ," 29°22'56.64""N"," 48° 0'8.28""E",IP,Bosch,4,7/16/2021,1/4/2022,20,Online,31.5,32,2,340,60,Warning,98.38,147,4.29,TRUE,TRUE,Roof,
220,قادم من الفحيحل باتجاه المدينه وصباح السالم," 29°14'49.59""N","48° 5'33.26""E",Dome,Axis,2,8/13/2023,5/9/2025,19,Intermittent,33.6,47,2,431,68,Warning,96.65,100,1.97,TRUE,FALSE,Office,
68,د.4 / القاسم القادم المخرج المؤدي الي الغزالي,"29°18'47.47""N","47°55'44.36""E",Fisheye,Honeywell,12,12/10/2021,2/9/2025,22,Online,26.1,83,1,36,60,Good,99.65,136,14.23,TRUE,TRUE,Server Room,Heat exposure — add shade
452,القادم من شارع ابوحنيفه الرميثيه باتجاه د.5," 29°19'22.94""N"," 48° 3'58.75""E",Analog,Uniview,4,10/5/2023,8/10/2023,23,Online,27,59,2,230,68,Warning,98.99,124,3.46,TRUE,FALSE,Server Room,Focus adjustment needed
73,د.4 / المطارالمخرج المؤدي الي د.5," 29°18'58.28""N","47°57'37.85""E",PTZ,Hikvision,4,7/5/2022,6/28/2024,18,Online,35.9,86,1,121,76,Good,98.79,126,2.58,TRUE,FALSE,Warehouse,Focus adjustment needed
52,قادم من الجهراء باتجاه صلة الدوحه," 29°18'12.50""N"," 47°47'1.83""E",Bullet,Bosch,12,9/9/2024,4/6/2024,23,Intermittent,38.2,45,0,165,67,Warning,91.28,132,8.28,TRUE,TRUE,Roof,Heat exposure — add shade
454,القادم من د.5 باتجاه دوار البدع," 29°19'32.43""N"," 48° 4'45.52""E",Thermal,Hanwha,2,3/8/2019,5/8/2024,21,Offline,36.6,78,0,248,67,Warning,96.5,116,0.91,FALSE,TRUE,Gate,
162,قادم من اشبيله والجليب واشبيله باتجاه الجهراء," 29°16'1.42""N"," 47°56'21.86""E",Fisheye,Honeywell,12,8/6/2021,4/16/2024,19,Online,40.8,66,1,442,66,Good,98.93,106,7.95,TRUE,FALSE,Office,Focus adjustment needed
126,قادم من الجهراء باتجاه الاحمدي," 29°15'30.42""N","48° 2'38.20""E",Analog,Vivotek,2,5/2/2018,3/8/2023,21,Intermittent,38.8,47,0,73,69,Warning,93.71,126,1.31,TRUE,FALSE,Parking,Replace network cable
281,قادم من شارع عبد العزيز حمد الصقر باتجاه شارع الخليج العربي السالمية ,,,Fisheye,Axis,5,9/28/2024,7/31/2025,20,Offline,35.3,75,0,230,61,Warning,90.52,129,2.19,TRUE,TRUE,Perimeter,
152,قادم من الجهراء باتجاه الضجيج," 29°15'47.51""N"," 47°57'8.29""E",Analog,Axis,2,8/13/2025,10/6/2023,20,Online,31.4,70,2,623,82,Good,98.07,128,1.81,TRUE,FALSE,Roof,Mount stabilization required
240,قادم من الاول بتجاه عبدالحميد حمد الصقر," 29°21'57.49""N"," 47°57'46.66""E",Fisheye,Honeywell,2,1/5/2024,9/15/2021,21,Online,34,68,1,358,73,Good,98.11,101,1.5,TRUE,TRUE,Server Room,Heat exposure — add shade
354,قادم من شارع خالد ابن الوليد باتجاه شارع السور ,,,Dome,Vivotek,5,7/31/2018,7/6/2021,20,Online,19.7,24,0,333,95,Good,99.04,127,2.58,TRUE,TRUE,Gate,Mount stabilization required
275,قادم من شارع الخليج العربي من ناحية باتجاه شارع السور ,,,IP,Bosch,5,7/7/2020,7/1/2025,18,Online,28.6,40,2,627,93,Good,98.79,129,2.8,TRUE,FALSE,Server Room,Heat exposure — add shade
7,الاول / القاهره الخارج من المدينه - الشيراتون," 29°21'48.53""N","47°59'23.77""E",Thermal,Axis,4,6/1/2024,2/3/2024,21,Online,27.1,78,0,527,99,Good,99.52,121,1.5,TRUE,FALSE,Gate,Replace network cable
352,قادم من شارع السور/القاهرة باتجاه شارع مبارك الكبير ," 29°22'1.43""N"," 47°59'21.61""E",Analog,Hanwha,5,12/8/2021,10/23/2024,22,Online,28.7,67,0,250,84,Good,99.06,127,3.49,TRUE,FALSE,Server Room,Check IR LEDs
135,قادم السالميه باتجاه د.4," 29°18'12.40""N","47°57'58.20""E",Dome,Honeywell,8,2/14/2025,10/19/2020,21,Online,32.6,72,1,678,97,Good,98.42,111,5.59,TRUE,FALSE,Gate,
94,مدخل قصر بيان باتجاه السالميه," 29°18'14.50""N","48° 1'27.86""E",Thermal,Dahua,5,7/2/2024,2/1/2024,23,Online,27.8,60,1,661,79,Good,98.57,111,5.86,FALSE,FALSE,Gate,Replace network cable
297,قادم من شارع الخليج العربي السالمية باتجاه شارع عبد الرحمن يوسف حمد الرومي ,,,Thermal,Bosch,4,9/1/2022,2/12/2024,19,Intermittent,35.4,32,2,463,61,Warning,93.5,130,4.39,TRUE,FALSE,Office,Check IR LEDs
397,القادم من  الدائري الخامس باتجاه شارع قطر السالميه ," 29°19'30.57""N"," 48° 5'6.72""E",Analog,Honeywell,5,3/4/2025,2/26/2025,19,Online,38.2,80,0,651,92,Good,98.63,118,4.77,TRUE,FALSE,Warehouse,Replace network cable
198,قادم من العدان باتجاه المدينه," 29°14'24.13""N","48° 3'2.36""E",Thermal,Honeywell,4,8/23/2021,2/18/2025,18,Intermittent,30.4,48,1,292,69,Warning,96.7,134,2.63,TRUE,FALSE,Parking,
116,مخرج  القادم من مشرف باتجاه الفحيحيل," 29°17'20.89""N","48° 4'19.50""E",Dome,Vivotek,5,9/18/2022,5/19/2023,20,Online,35.2,36,2,607,64,Warning,98.79,111,3.75,TRUE,TRUE,Lobby,
245,قادم من الملك فهد بن عبدالعزيز باتجاه الملك عبدالله بن عبدالعزيز," 29°15'49.15""N"," 48° 2'32.21""E",Bullet,Hikvision,5,10/12/2018,10/6/2024,19,Online,32.1,50,0,234,64,Good,99.75,111,2.57,TRUE,FALSE,Lobby,Firmware update recommended
34,القادم طريق الجهراء باتجاه د.2," 29°20'54.57""N","47°57'24.87""E",IP,Uniview,5,10/30/2022,12/7/2025,19,Online,41.2,89,0,290,94,Good,98.21,125,2.41,TRUE,FALSE,Server Room,
193,قادم من اسواق القرين باتجاه الاحمدي," 29°12'13.56""N","48° 3'36.56""E",PTZ,Vivotek,5,5/29/2021,10/14/2024,19,Online,35.5,77,1,287,79,Good,99.97,151,5.74,TRUE,TRUE,Parking,
404,القادم من شارع شاهين الغانم باتجاه د. 5," 29°19'24.68""N"," 48° 5'13.54""E",Dome,Uniview,4,6/25/2018,3/20/2024,20,Online,41.5,55,1,137,92,Good,99.77,114,2.57,TRUE,FALSE,Parking,Heat exposure — add shade
236,القادم من دوار الجهراء باتجاه طريق د.2," 29°21'32.45""N"," 47°57'46.41""E",IP,Uniview,5,3/28/2018,12/12/2024,21,Online,29.6,38,1,370,99,Good,98.52,122,2.04,TRUE,FALSE,Parking,
155,قادم الضجيج باتجاه المسيله," 29°15'56.54""N","47°57'24.55""E",Fisheye,Dahua,8,2/7/2025,2/24/2025,18,Online,35.3,56,2,86,68,Warning,98.5,132,9.49,TRUE,FALSE,Perimeter,Check IR LEDs
80,د.4 / الرياض المخرج المؤدي الي د-5," 29°19'4.05""N","47°58'27.54""E",Fisheye,Uniview,8,1/17/2025,1/4/2024,20,Online,27.9,63,1,682,64,Good,99.72,117,7.9,TRUE,TRUE,Roof,
134,قادم من الفروانيه باتجاه السالميه," 29°18'10.03""N","47°57'59.60""E",Bullet,Hikvision,2,10/14/2025,9/17/2025,19,Online,27.9,40,3,165,98,Warning,99.24,120,1.37,TRUE,FALSE,Lobby,
145,قادم من الخامس باتجاه الجهراء," 29°15'58.13""N","47°57'58.27""E",Analog,Hanwha,5,11/27/2021,8/1/2024,18,Online,36,54,3,9,87,Warning,99.16,121,4.93,TRUE,FALSE,Roof,Lens requires cleaning
65,د.4 /محمد بن القاسم  المخرج المؤدي الي د-5," 29°18'43.69""N","47°55'34.10""E",IP,Uniview,5,8/12/2020,4/22/2024,21,Offline,20,17,0,565,61,Warning,94.82,122,3.82,TRUE,FALSE,Warehouse,
209,الغوض / 208 قادم العدان باتجاه الملك فهد," 29°12'44.56""N","48° 5'21.88""E",Analog,Bosch,5,5/24/2024,7/11/2024,21,Online,33.2,60,2,355,77,Good,99.45,129,1.98,TRUE,FALSE,Parking,Firmware update recommended
112,مخرج  القادم من بيان باتجاه الفحيحيل,"    29°17'46.39""N","48° 4'0.64""E",Thermal,Hanwha,4,6/9/2025,7/21/2025,22,Online,40.4,44,1,706,68,Good,99.36,122,1.7,TRUE,FALSE,Perimeter,
199,قادم الاحمدي باتجاه العدان," 29°14'17.64""N","48° 3'4.11""E",Analog,Dahua,5,10/18/2023,8/18/2025,23,Intermittent,35.2,51,0,133,78,Good,91.44,124,1.77,TRUE,FALSE,Lobby,
205,قادم د.6 باتجاه الرقه مقابل صباح السالم," 29°15'34.28""N"," 48° 3'50.20""E",Analog,Hanwha,8,8/11/2021,7/5/2025,18,Intermittent,28.6,56,0,421,71,Warning,96,127,2.51,TRUE,FALSE,Warehouse,Heat exposure — add shade
65,د.4 /محمد بن القاسم  المخرج المؤدي الي د-5," 29°18'43.69""N","47°55'34.10""E",IP,Uniview,8,8/12/2020,8/29/2025,20,Intermittent,41.1,67,0,413,61,Warning,96.97,103,9.2,TRUE,FALSE,Warehouse,Firmware update recommended
355,قادم من شارع جابر المبارك باتجاه شارع الفحاحيل / شارع السور ," 29°22'34.79""N"," 47°59'36.95""E",Bullet,Dahua,12,7/28/2024,10/27/2025,20,Online,22,60,0,691,82,Good,98.34,125,7.19,TRUE,TRUE,Perimeter,
129,قادم من د.4 باتجاه الجهراء,"29°18'5.93""N","47°56'29.26""E",Bullet,Honeywell,8,4/1/2024,6/6/2022,23,Online,33.4,44,0,75,86,Good,99.02,117,7.18,TRUE,FALSE,Warehouse,Check IR LEDs
395,القادم من شارع قطر السالمية باتجاه الدائري الخامس," 29°19'37.05""N"," 48° 5'4.08""E",Fisheye,Axis,8,12/25/2020,9/8/2023,21,Online,37.3,58,1,409,74,Good,98.82,105,3.21,TRUE,TRUE,Roof,Firmware update recommended
